"Date";"Indoor Temperature";"Indoor Humidity";"Outdoor Temperature 1";"Outdoor Humidity 1";"Outdoor Temperature 2";"Outdoor Humidity 2";"Outdoor Temperature 3";"Outdoor Humidity 3";"Outdoor Temperature 4";"Outdoor Humidity 4";"Outdoor Temperature 5";"Outdoor Humidity 5"
"31.01.2015 00:00";"23.4";"48";"11.5";"57";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 01:00";"22.7";"49";"11.7";"56";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 02:00";"22.1";"51";"10.0";"69";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 03:00";"21.6";"52";"8.0";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 04:00";"21.2";"52";"8.7";"73";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 05:00";"21.0";"52";"9.2";"68";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 06:00";"20.8";"51";"4.7";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 07:00";"20.6";"51";"6.2";"62";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 08:00";"20.2";"52";"5.7";"63";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 09:00";"19.9";"52";"6.6";"57";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 10:00";"20.2";"54";"7.1";"56";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 11:00";"20.1";"53";"8.0";"53";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 12:00";"19.5";"47";"9.5";"49";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 13:00";"20.1";"51";"8.7";"49";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 14:00";"19.8";"51";"8.9";"48";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 15:00";"19.4";"48";"8.8";"44";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 16:00";"19.9";"51";"8.7";"42";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 17:00";"23.5";"47";"8.3";"47";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 18:00";"22.7";"49";"7.4";"58";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 19:00";"22.9";"52";"5.9";"72";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 20:00";"23.5";"54";"4.1";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 21:00";"24.4";"49";"3.5";"78";"---";"---";"---";"---";"---";"---";"---";"---"
